# OpenComputers 3D Print block name migration
# Format: legacy_name,modern_name
# Covers Minecraft 1.12.2 -> 1.20.1 block/texture name changes
# Lines where legacy==modern indicate blocks that were not renamed

# ============================================================
# WOOD - Logs
# ============================================================
log_oak,oak_log
log_spruce,spruce_log
log_birch,birch_log
log_jungle,jungle_log
log_acacia,acacia_log
log_big_oak,dark_oak_log

# ============================================================
# WOOD - Planks
# ============================================================
planks_oak,oak_planks
planks_spruce,spruce_planks
planks_birch,birch_planks
planks_jungle,jungle_planks
planks_acacia,acacia_planks
planks_big_oak,dark_oak_planks

# ============================================================
# WOOD - Leaves
# ============================================================
leaves_oak,oak_leaves
leaves_spruce,spruce_leaves
leaves_birch,birch_leaves
leaves_jungle,jungle_leaves
leaves_acacia,acacia_leaves
leaves_big_oak,dark_oak_leaves

# ============================================================
# WOOD - Saplings
# ============================================================
sapling_oak,oak_sapling
sapling_spruce,spruce_sapling
sapling_birch,birch_sapling
sapling_jungle,jungle_sapling
sapling_acacia,acacia_sapling
sapling_roofed_oak,dark_oak_sapling

# ============================================================
# WOOD - Slabs
# ============================================================
slab_oak,oak_slab
slab_spruce,spruce_slab
slab_birch,birch_slab
slab_jungle,jungle_slab
slab_acacia,acacia_slab
slab_big_oak,dark_oak_slab

# ============================================================
# WOOD - Stairs
# ============================================================
oak_stairs,oak_stairs
spruce_stairs,spruce_stairs
birch_stairs,birch_stairs
jungle_stairs,jungle_stairs
acacia_stairs,acacia_stairs
dark_oak_stairs,dark_oak_stairs

# ============================================================
# WOOD - Fences
# ============================================================
fence_oak,oak_fence
fence_spruce,spruce_fence
fence_birch,birch_fence
fence_jungle,jungle_fence
fence_acacia,acacia_fence
fence_big_oak,dark_oak_fence

# ============================================================
# WOOD - Fence Gates
# ============================================================
fence_gate_oak,oak_fence_gate
fence_gate_spruce,spruce_fence_gate
fence_gate_birch,birch_fence_gate
fence_gate_jungle,jungle_fence_gate
fence_gate_acacia,acacia_fence_gate
fence_gate_dark_oak,dark_oak_fence_gate

# ============================================================
# WOOD - Doors
# ============================================================
door_wood,oak_door
door_spruce,spruce_door
door_birch,birch_door
door_jungle,jungle_door
door_acacia,acacia_door
door_dark_oak,dark_oak_door

# ============================================================
# WOOD - Trapdoors
# ============================================================
trapdoor,oak_trapdoor
iron_trapdoor,iron_trapdoor

# ============================================================
# WOOD - Buttons
# ============================================================
wooden_button,oak_button
stone_button,stone_button

# ============================================================
# WOOD - Pressure Plates
# ============================================================
wooden_pressure_plate,oak_pressure_plate
stone_pressure_plate,stone_pressure_plate
gold_pressure_plate,light_weighted_pressure_plate
iron_pressure_plate,heavy_weighted_pressure_plate

# ============================================================
# WOOD - Signs
# ============================================================
standing_sign,oak_sign
wall_sign,oak_wall_sign

# ============================================================
# STONE - Base Blocks
# ============================================================
stone,stone
cobblestone,cobblestone
mossy_cobblestone,mossy_cobblestone

# ============================================================
# STONE - Granite / Diorite / Andesite
# ============================================================
stone_granite,granite
stone_granite_smooth,polished_granite
stone_diorite,diorite
stone_diorite_smooth,polished_diorite
stone_andesite,andesite
stone_andesite_smooth,polished_andesite

# ============================================================
# STONE - Stone Bricks
# ============================================================
stonebrick,stone_bricks
stonebrick_mossy,mossy_stone_bricks
stonebrick_cracked,cracked_stone_bricks
stonebrick_chiseled,chiseled_stone_bricks

# ============================================================
# STONE - Walls
# ============================================================
cobblestone_wall,cobblestone_wall
